F_max,C_mean,C_std,C_smoothed
1.0,0.8039917610398291,0.35943158142091747,0.8245705589365205
1.5,0.7943263346531786,0.29786321373483726,0.8334222762260202
2.0,0.8475808299535604,0.3424323346290658,0.8456770867880752
2.5,0.9460108354208681,0.36541778360944444,0.8536182582533358
3.0,0.8480376757610463,0.421071921537124,0.8527014397798158
3.5,0.8868863151695827,0.36213656424119545,0.8451136526466649
4.0,0.7399577514350077,0.36569089366714697,0.8371900670319092
4.5,0.7977298717011687,0.38383458678211113,0.832688772977862
5.0,0.9489697110402634,0.45695879166459064,0.8296449837915062
5.5,0.7946051614177695,0.28821694984885915,0.8243705093730435
6.0,0.8037034274785901,0.3655420859809073,0.8167498821179849
6.5,0.8036071058820472,0.3714556028955512,0.8099569455190762
7.0,0.773776187013067,0.4121659457729458,0.80609774222697
7.5,0.8164277713728602,0.4827257014799849,0.8040174259997201
8.0,0.8622545071655464,0.357408410332037,0.8018170926565352
8.5,0.7660704525826506,0.3433873301362408,0.8004409334988043
9.0,0.7347074452498783,0.4276633618010391,0.8029296203906826
9.5,0.793743895813257,0.3793029421502461,0.8098336641279356
10.0,0.9270257042938075,0.31451211449079536,0.8174593594602884
10.5,0.7848040734264105,0.4031729254390269,0.8219389105545303
11.0,0.8192055737680363,0.45023998325839276,0.8231832092811461
