epsilon,C_mean,C_std,C_smoothed
1e-06,0.8314577448162623,0.44687393856386076,0.8245413188971891
1.995e-06,0.7161819619157526,0.45276523283952624,0.8358220111233012
3.981e-06,0.9287967467085838,0.42050890269089003,0.8537396266200483
7.943e-06,0.9191031666683029,0.409826939637506,0.8709204635590847
1.5849e-05,0.8010502929060745,0.4495925689882082,0.8802338072057185
3.1623e-05,1.0342708408363817,0.43840024175337217,0.8776427835967017
6.3096e-05,0.8707737168137226,0.39712060094043233,0.8643630967869049
0.000125893,0.7399069138500696,0.3844760176636506,0.8469717766751668
0.000251189,0.875407628694077,0.30234570696768326,0.8340614027517619
0.000501187,0.8087815846483164,0.3105701867233509,0.8314353311783007
0.001,0.708438235199364,0.43667666485650064,0.8389159131513466
0.001995262,0.9653208997175842,0.35211030362106166,0.8502592837100434
0.003981072,0.900261377783672,0.4436996829783144,0.8573938318695102
0.007943282,0.8740498766824041,0.4281199817833502,0.8569674495019551
0.015848932,0.79905782263333,0.365522445790014,0.8523117399236781
0.031622777,0.8191922689323503,0.2840951259228373,0.8482313011191688
0.063095734,0.8691208288280704,0.41879329706647284,0.8457267631206684
0.125892541,0.923912320886345,0.3474745439744617,0.8433807140609901
0.251188643,0.7634775922272852,0.25257749135044655,0.8415751724504483
0.501187234,0.7765370197507462,0.3889262382880008,0.8419021929574189
1.0,0.914714199636,0.3787300433148697,0.8434170598752906
